WRIST_X,WRIST_Y,THUMB_TIP_X,THUMB_TIP_Y,INDEX_TIP_X,INDEX_TIP_Y,MIDDLE_TIP_X,MIDDLE_TIP_Y,label
0.0,0.0,-0.1413934151098005,-1.1087705566715054,-0.3130715862004321,-1.9804340191787,-0.1698090875068622,-0.7154227155146672,NUMBER_1
0.0,0.0,-0.1495207925236235,-1.1431534509447927,-0.5103013791833177,-1.9738619602159535,-0.1771712997631183,-0.7559566959248881,NUMBER_1
0.0,0.0,-0.1405770264971042,-1.1439791025731751,-0.5166529605111687,-1.9628017208094948,-0.1771059391472501,-0.7777499074756873,NUMBER_1
0.0,0.0,-0.1496457076825862,-1.131177745093266,-0.5313674714195896,-1.9536539903658876,-0.1820281689903682,-0.7605150696470503,NUMBER_1
0.0,0.0,-0.1429507988860736,-1.126218160094825,-0.5254365818634834,-1.9402066227332744,-0.1787346546261565,-0.7503240749265733,NUMBER_1
0.0,0.0,-0.1495134881321141,-1.1352358384357983,-0.5397896865882384,-1.9544563251656657,-0.1866313395886112,-0.7636476851281303,NUMBER_1
0.0,0.0,-0.1490189413380446,-1.1231192360963862,-0.5177544876302554,-1.956644565570324,-0.1829662047100868,-0.7518012023145623,NUMBER_1
0.0,0.0,-0.1360210700750797,-1.1049945074617795,-0.4713729814114495,-1.982568526273958,-0.1816278848870521,-0.7275093743442441,NUMBER_1
0.0,0.0,-0.1385490436296479,-1.0807384559068356,-0.4212597974217866,-2.0056735871721294,-0.1785417521753197,-0.7116352449781016,NUMBER_1
0.0,0.0,-0.1378021263541542,-1.0851072534387791,-0.3799122457537601,-1.9931342351512067,-0.1784327092589173,-0.7211268546822859,NUMBER_1
0.0,0.0,-0.133957748535163,-1.0703775514118887,-0.3311453028670407,-1.985695705287256,-0.1774402713004269,-0.7207405620581379,NUMBER_1
0.0,0.0,-0.1255722438108286,-1.061684184332458,-0.2609376403180848,-1.9905124236285123,-0.1715947925711815,-0.7235213176858707,NUMBER_1
0.0,0.0,-0.1099677831281431,-1.0492583756022411,-0.2293313560030093,-1.9738360233637915,-0.1636927288774042,-0.7248289219282136,NUMBER_1
0.0,0.0,-0.1138521949522065,-1.0547175650336802,-0.2276963383206506,-1.9875393591778383,-0.1665573371580494,-0.7320195396930625,NUMBER_1
0.0,0.0,-0.1036675573412571,-1.05908525382055,-0.2223289504991278,-1.9983094745385896,-0.1599066989584951,-0.7286997552908645,NUMBER_1
